5,5
94,4
185,3
274,3
4,94
93,93
184,92
274,92
3,184
92,184
183,183
274,183
3,274
92,274
183,274
274,274
5,635
94,636
185,637
274,637
4,546
93,547
184,548
274,548
3,456
92,456
183,457
274,457
3,366
92,366
183,366
274,366
635,635
546,636
455,637
366,637
636,546
547,547
456,548
366,548
637,456
548,456
457,457
366,457
637,366
548,366
457,366
366,366
635,5
546,4
455,3
366,3
636,94
547,93
456,92
366,92
637,184
548,184
457,183
366,183
637,274
548,274
457,274
366,274
0,0
91,0
183,0
274,0
0,91
91,91
183,91
274,91
0,183
91,183
183,183
274,183
0,274
91,274
183,274
274,274
0,640
91,640
183,640
274,640
0,549
91,549
183,549
274,549
0,457
91,457
183,457
274,457
0,366
91,366
183,366
274,366
640,640
549,640
457,640
366,640
640,549
549,549
457,549
366,549
640,457
549,457
457,457
366,457
640,366
549,366
457,366
366,366
640,0
549,0
457,0
366,0
640,91
549,91
457,91
366,91
640,183
549,183
457,183
366,183
640,274
549,274
457,274
366,274
10,10
96,8
186,7
274,6
8,96
95,95
185,94
274,93
7,186
94,185
184,184
274,183
6,274
93,274
183,274
274,274
10,630
96,632
186,633
274,634
8,544
95,545
185,546
274,547
7,454
94,455
184,456
274,457
6,366
93,366
183,366
274,366
630,630
544,632
454,633
366,634
632,544
545,545
455,546
366,547
633,454
546,455
456,456
366,457
634,366
547,366
457,366
366,366
630,10
544,8
454,7
366,6
632,96
545,95
455,94
366,93
633,186
546,185
456,184
366,183
634,274
547,274
457,274
366,274
